date,finding5,treatment,images,notes,finding2,finding1,treatedBy,line,finding4,finding3,diagnosis,fishExamined,tankNumber,treatmentDate,group,id,created_date,updated_date,created_by_id,created_by,is_sample
"2026-04-06","","","[]","","טריכודינה עומס גבוה","נקי","","Coral mix","טריכודינה עומס נמוך","נקי","","4","FT4","","Platy","69d37686f65ebade3f1b0742","2026-04-06T09:01:58.646000","2026-04-06T09:01:58.646000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-04-06","","","[]","","נקי","נקי","","mix","","נקי","","3","PH14","","Guppy","69d36c49aba6e0ba79dd4f78","2026-04-06T08:18:17.037000","2026-04-06T08:18:17.037000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-04-06","נקי","","[]","","נקי","נקי","","H.B","נקי","נקי","","5","FT75","","Guppy","69d3661d5903207d1ee1fa5f","2026-04-06T07:51:57.589000","2026-04-06T07:52:49.864000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-04-06","נקי","","[]","","נקי","נקי","","s.s blue","נקי","נקי","","5","FT62","","Guppy","69d364c91d812f6e997d05a0","2026-04-06T07:46:17.213000","2026-04-06T07:46:17.213000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-04-06","","","[]","","נקי","נקי","","yellow neon + pink","נקי","נקי","נקי מטפילים","4","FT49","","Guppy","69d3632a7d0aefd8c7f424f1","2026-04-06T07:39:22.218000","2026-04-06T07:39:22.218000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-04-06","נקי","","[]","","נקי","נקי","","Harlequin","נקי","נקי","אחרי 2 טיפולים של מי חמצן בוקר וערב. אין טריכודינה על הדגים","5","FT36","","Rasbora","69d3615881aa2ae4513f01cf","2026-04-06T07:31:36.657000","2026-04-06T07:31:36.657000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-30","טריכודינה-עומס בינוני","מי חמצן","[""https://base44.app/api/apps/6939cb8e222f808c3d88aea8/files/mp/public/6939cb8e222f808c3d88aea8/246a26fc4_Rasbora1050426.tif"",""https://base44.app/api/apps/6939cb8e222f808c3d88aea8/files/mp/public/6939cb8e222f808c3d88aea8/349faa8db_Rasbora1a050426.tif"",""https://base44.app/api/apps/6939cb8e222f808c3d88aea8/files/mp/public/6939cb8e222f808c3d88aea8/94a0dd633_Rasbora2050426.tif""]","","טריכודינה-עומס גבוה","טריכודינה-עומס גבוה","","Harlequin","טריכודינה-עומס גבוה","טריכודינה-עומס גבוה","לפני כחמישה צמצמו את מיכלים של הרסבורות. אחרי יומיים שלושה התחילה תמותה. דגמתי 3 חולים ושניים שנראו בסדר על כולם יש עומס טריכודינה. בנוסף, המים במיכל נראים עם עומס אורגני גבוה. ","4","FT36","","Rasbora","69d211750e24be102a7ee502","2026-04-05T07:38:29.929000","2026-04-05T07:41:07.951000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-30","נקי","לטפל במיכל במי חמצן","","","נקי","נקי","","s.s blue","נקי","נקי","אין טפילים, אבל הדגים במיכל נראים חלשים ורזים וגם מתחילה תמותה נמוכה","5","FT62","","Guppy","69ca5944f9a5273571558f46","2026-03-30T11:06:44.884000","2026-03-30T11:06:44.884000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-26","נקי","","","מערכת בעומס חלקיקי בינוני","2 טריכודינה","נקי","","Harlequin","2 טריכודינה","9 טריכודינה","נדגמו 5 דגים , דגימה מעורבת. יש טריכודינה בעומס נמוך","5","FT36","","Rasbora","69c8e5dbeb23ad2d7c1fbb51","2026-03-29T08:42:03.356000","2026-03-29T08:42:03.356000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-26","נקי","","","","נקי","נקי","","H.B","נקי","נקי","יש קצת חלקיקים אורגניים במים","5","FT75","","Guppy","69c8e2029113fa9ef8b972d1","2026-03-29T08:25:38.452000","2026-03-29T08:25:38.452000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-26","עומס חלקיקי בינוני על הדג. נקי מטפילים","","","מערכת מלוכלכת (פחות מ24 שעות) רואים קצת חלקיקים אורגניים. אין טפילים","בטן נפוחה-כבד מוגדל מאוד. נקי מטפילים","נקי","","Pink","נקי","נקי","אין טפילים.","5","FT48","","Guppy","69c8dfb996424a60d2658996","2026-03-29T08:15:53.802000","2026-03-29T08:15:53.802000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"2026-03-26","נקי","","","מערכת מלוכלכת, הידרוציקלון מלוכלכך. כרגע מלוכלכך פחות מ24 שעות","חלקיקים אורגניים ברמה נמוכה","נקי","","Gold","חלקיקים אורגניים ברמה נמוכה","חלקיקים אורגניים ברמה נמוכה","אין סימן לטפילים, כן רואים עומס אורגני על הדגים.","5","FT46","","guppy","69c8da8237579f62572f9043","2026-03-29T07:53:38.346000","2026-03-29T07:53:38.346000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
