malesCount,femalesCount,notes,tankClean,destinationTankNumber,departmentId,groupId,co2,ammonia,gridColumn,do,nitrate,transferDate,uia,isActive,stockingDate,number,lastUpdated,gridRow,tankStatus,temperature,tankCleanDate,ec,strainOrLine,salinity,systemId,forSale,density,batchCode,alkalinity,requiredTask,stockingDensity,nitrite,stage,species,pondTypeId,ph,fishSize,fishCount,id,created_date,updated_date,created_by_id,created_by,is_sample
"","","עודפים","","","6939cd656be03577a0a88ef0","","3.785744066881158","0.2","0","","62","","0.0034026732909089212","true","","FT21","2026-04-05T12:34:09.000Z","0","Active","24.5","","2160","","","69bba20fc5786182442f2d7d","Yes","Low","","60","","","0.3","stock","","","7.5","4-5","","69c0bee5a4c168ed40f4d964","2026-03-23T04:17:41.212000","2026-04-05T12:34:10.442000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","0","","","","","true","2026-03-01","LR1","2026-04-06T10:49:20.322Z","0","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69bfb9498cf644d9f1176fa3","2026-03-22T09:41:29.935000","2026-04-06T10:49:20.593000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","Do 5.56
Ph 6.99","","","6939cd656be03577a0a88ef0","","8.891397050194614","0.5","0","8.68","100","","0.003030331652130625","false","","FT4 61","2026-03-25T11:54:49.000Z","0","Active","24.4","","2350","","","69bba22c5e6f95b27480aa45","","","","50","","","0.2","","","","7.05","","","69bbad0d50a61e9e6b701377","2026-03-19T08:00:13.398000","2026-04-04T16:44:22.009000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"","","Ph 6.86 במיכל
Do 3.88","","","6939cd656be03577a0a88ef0","","6.591283692782037","0.5","0","8.33","106","","0.004314865263784459","false","","FT3 41","2026-03-25T11:47:00.000Z","0","Active","25.2","","2210","","","69bba21e8cb3c1a5e9cb6c9a","","","","50","","","0.2","","","","7.18","","","69bbac813ff46a292590bd26","2026-03-19T07:57:53.046000","2026-04-04T16:44:40.010000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"","","Doבמיכל 6.73
Ph ביציאה 7.22","","","6939cd656be03577a0a88ef0","","","0.5","0","8.5","150","","","false","","FT1 21","2026-03-19T07:45:19.818Z","0","Active","24.1","","2020","","","69bba20fc5786182442f2d7d","","","","45","","","0.2","","","","7.4","","","69bba89ff539dd5c9e760ffb","2026-03-19T07:41:19.996000","2026-03-23T04:17:10.206000","69a077bf27e4fc78664e7b18","nataliekap1@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR32","2026-04-05T10:01:50.181Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","Normal","","","","","","","","","","","","69baa332bcb32bc29c613feb","2026-03-18T13:05:54.474000","2026-04-05T10:01:50.682000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR33","2026-04-12T05:05:34.680Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613fec","2026-03-18T13:05:54.474000","2026-04-12T05:05:34.890000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR34","2026-04-12T05:05:17.967Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613fed","2026-03-18T13:05:54.474000","2026-04-12T05:05:18.249000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR35","2026-04-12T05:04:59.950Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613fee","2026-03-18T13:05:54.474000","2026-04-12T05:05:00.129000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR36","2026-04-06T10:45:50.825Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613fef","2026-03-18T13:05:54.474000","2026-04-06T10:45:51.105000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR37","2026-04-06T10:45:33.230Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613ff0","2026-03-18T13:05:54.474000","2026-04-06T10:45:33.598000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR38","2026-04-06T10:45:06.533Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613ff1","2026-03-18T13:05:54.474000","2026-04-06T10:45:06.917000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR39","2026-03-31T12:00:18.373Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","Normal","","","","","","","","","","","","69baa332bcb32bc29c613ff2","2026-03-18T13:05:54.474000","2026-03-31T12:00:19.302000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR40","2026-04-12T05:04:38.155Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","High","","","","","","","","","","","","69baa332bcb32bc29c613ff3","2026-03-18T13:05:54.474000","2026-04-12T05:04:38.357000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR41","2026-04-05T04:33:47.166Z","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","","","","","","","","","","","","","69baa332bcb32bc29c613ff4","2026-03-18T13:05:54.474000","2026-04-05T04:33:47.559000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
"","","","","","6939cd656be03577a0a88eef","","","","","","","","","true","","LR42","","","Active","","","","","","69b402793e6eb5f2dcbe6eb3","","","","","","","","","","","","","","69baa332bcb32bc29c613ff5","2026-03-18T13:05:54.474000","2026-03-18T13:11:15.409000","6939cb8e222f808c3d88aea9","nirmeshulam8@gmail.com","false"
